"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"09.02.2014","122,95","128,20","134,75","122,00","8,64M","-0,45%"
"02.02.2014","123,50","122,35","124,15","120,15","3,50M","1,23%"
"26.01.2014","122,00","125,15","125,45","119,25","4,16M","-2,32%"
"19.01.2014","124,90","125,10","129,20","123,40","3,40M","-0,20%"
"12.01.2014","125,15","123,65","127,25","121,20","3,98M","1,38%"
"05.01.2014","123,45","126,00","126,95","121,80","3,62M","-2,45%"
"29.12.2013","126,55","126,85","128,45","125,40","1,17M","0,00%"
"22.12.2013","126,55","125,55","126,55","124,15","1,01M","1,20%"
"15.12.2013","125,05","123,90","125,70","122,95","4,36M","0,85%"
"08.12.2013","124,00","127,00","127,75","123,30","3,40M","-2,21%"
"01.12.2013","126,80","123,25","127,20","122,30","4,50M","2,96%"
"24.11.2013","123,15","125,75","125,75","122,80","2,56M","-1,40%"
"17.11.2013","124,90","124,50","126,50","123,20","2,55M","-0,36%"
"10.11.2013","125,35","121,00","125,40","120,80","2,99M","1,21%"
"03.11.2013","123,85","125,20","126,00","122,55","2,71M","-1,00%"
"27.10.2013","125,10","128,10","130,00","124,10","2,58M","-2,00%"
"20.10.2013","127,65","127,70","130,60","126,55","2,13M","0,12%"
"13.10.2013","127,50","125,45","127,70","120,50","3,48M","1,55%"
"06.10.2013","125,55","123,95","126,35","122,45","2,26M","0,97%"
"29.09.2013","124,35","127,00","127,85","124,35","2,20M","-2,59%"
"22.09.2013","127,65","129,55","129,80","126,55","2,04M","-1,39%"
"15.09.2013","129,45","125,40","129,75","124,80","2,67M","3,93%"
"08.09.2013","124,55","125,95","126,50","123,80","2,18M","-0,95%"
"01.09.2013","125,75","128,65","129,45","123,60","2,69M","-0,40%"
"25.08.2013","126,25","125,45","130,00","121,00","3,24M","0,52%"
"18.08.2013","125,60","130,20","130,35","124,95","2,61M","-2,97%"
"11.08.2013","129,45","127,55","130,10","125,70","2,04M","1,73%"
"04.08.2013","127,25","127,45","130,20","126,45","1,85M","0,04%"
"28.07.2013","127,20","125,40","128,50","123,95","2,61M","1,48%"
"21.07.2013","125,35","128,75","128,90","124,90","2,02M","-2,45%"
"14.07.2013","128,50","130,00","131,00","123,40","2,69M","-0,89%"
"07.07.2013","129,65","126,65","130,95","126,65","2,13M","2,33%"
"30.06.2013","126,70","126,60","129,25","124,15","2,63M","0,36%"
"23.06.2013","126,25","122,25","127,75","120,15","3,14M","3,06%"
"16.06.2013","122,50","125,50","129,00","122,50","3,27M","-2,23%"
"09.06.2013","125,30","126,55","128,00","122,60","2,34M","-1,34%"
"02.06.2013","127,00","130,35","131,25","123,60","3,10M","-2,57%"
"26.05.2013","130,35","133,70","137,65","130,35","2,44M","-1,96%"
"19.05.2013","132,95","135,35","137,50","131,80","2,77M","-1,52%"
"12.05.2013","135,00","133,80","137,10","133,60","3,50M","0,71%"
"05.05.2013","134,05","135,70","136,60","130,80","2,54M","-1,14%"
"28.04.2013","135,60","131,75","137,85","131,70","3,28M","3,95%"
"21.04.2013","130,45","127,00","133,60","124,00","3,63M","3,20%"
"14.04.2013","126,40","122,85","126,75","120,30","3,55M","2,39%"
"07.04.2013","123,45","122,20","125,80","120,90","2,73M","1,56%"
"31.03.2013","121,55","123,00","130,00","120,95","3,90M","-1,74%"
"24.03.2013","123,70","121,55","124,40","118,95","3,27M","2,83%"
"17.03.2013","120,30","118,50","123,20","118,10","3,63M","0,00%"
"10.03.2013","120,30","118,70","121,40","117,95","3,51M","1,01%"
"03.03.2013","119,10","114,20","119,50","113,60","3,23M","3,39%"
"24.02.2013","115,20","112,60","115,90","111,45","3,66M","2,31%"
"17.02.2013","112,60","110,00","112,90","109,20","2,67M","1,90%"
"10.02.2013","110,50","109,95","114,00","107,75","3,41M","1,75%"
"03.02.2013","108,60","112,00","112,00","107,55","3,20M","-2,95%"
"27.01.2013","111,90","111,00","114,50","109,40","3,11M","0,72%"
"20.01.2013","111,10","108,70","111,85","108,10","1,99M","2,59%"
"13.01.2013","108,30","104,35","110,15","103,85","2,36M","4,39%"
"06.01.2013","103,75","105,25","105,55","103,65","2,18M","-1,80%"
